id,name,contactType,favoriteEmail,description,emails,favoriteUrl,urls,favoriteAddress,addresses,groups,createdAt,createdBy,addedToGroupAt,addedToGroupBy,Founded Year,Founder names,Funds raised,Number of Investments,Number of exists,linkedin-private-codex,linkedin-private-claude,linkedin-private-cursor
93589bb2-5ccb-425e-ba60-5cd34d8133f2,Shenzhen Capital Group,company,,Shenzhen Capital Group is a venture capital company focused on cultivating national industries and shaping national brands.,,http://www.szvc.com.cn/english/Home/index.shtml,http://www.szvc.com.cn/english/Home/index.shtml,Shenzhen,Shenzhen,Most prolific investment firms (number of investments),2026-02-15T20:39:03.273Z,Mirza Asceric,2026-02-15T20:39:03.572Z,Mirza Asceric,1999,,"$651,900,000",489,85,,"https://www.linkedin.com/in/%E5%B7%8D-%E8%B4%BE-401b7322/,https://cn.linkedin.com/in/hao-wu-537859b7,https://www.linkedin.com/in/jason-ye-cfa-b81a8178/,https://www.linkedin.com/in/zhenyi-li17/,https://cn.linkedin.com/in/xin-he-137979177,https://www.linkedin.com/in/xiang-rex-zhang-8297313a/,https://www.linkedin.com/in/junjie-xiong-040842b8/,https://www.linkedin.com/in/yi-yang-445821105/","https://cn.linkedin.com/in/zhenyi-li17,https://www.linkedin.com/in/shuying-coral-chen-20b1a1149,https://hk.linkedin.com/in/jason-ye-cfa-b81a8178"
00a8d708-21ef-4b20-997f-b61ad3463603,Shunwei Capital,company,,Shunwei Capital is a venture capital fund focused primarily on early- to mid-stage investments in China's internet industry.,,https://shunwei.com/,https://shunwei.com/,Beijing,Beijing,Most prolific investment firms (number of investments),2026-02-15T20:39:03.273Z,Mirza Asceric,2026-02-15T20:39:03.572Z,Mirza Asceric,2011,"Jun Lei, Tuck Lye Koh","$4,200,000,000",428,29,,"https://cn.linkedin.com/in/ze-qian-0983b4105,https://cn.linkedin.com/in/zhijianz,https://cn.linkedin.com/in/cuimiao,https://www.linkedin.com/in/zhanghedy/,https://www.linkedin.com/in/weilicfa/,https://www.linkedin.com/in/xiao-sean-yang-753721147/,https://www.linkedin.com/in/tianyu-qi-670b5b39/,https://www.linkedin.com/in/zichao-xu-a899429b/","https://cn.linkedin.com/in/lei-jun-6846696,https://sg.linkedin.com/in/tucklye,https://www.linkedin.com/in/charlie-yang-823820280"
02613c68-7418-4892-9a8a-afdc5fa54e25,Slow,company,,,,https://slow-prod.herokuapp.com/,https://slow-prod.herokuapp.com/,"San Francisco, Boston, New York","San Francisco, Boston, New York",Most prolific investment firms (number of investments),2026-02-15T20:39:03.273Z,Mirza Asceric,2026-02-15T20:39:03.572Z,Mirza Asceric,2011,Kevin Colleran,"$325,000,000",566,203,,"https://www.linkedin.com/in/kevcoll/,https://www.linkedin.com/in/ang%C3%A8le-sahraoui/,https://www.linkedin.com/in/will-quist-b4b4974,https://www.linkedin.com/in/yrechtman/,https://www.linkedin.com/in/megan-lightcap-513ab96b/,https://www.linkedin.com/in/jackraines,https://www.linkedin.com/in/arianasong/,https://www.linkedin.com/in/allisonwu","https://www.linkedin.com/in/kevcoll,https://www.linkedin.com/in/wlessin,https://www.linkedin.com/in/will-quist-b4b4974"
eb7ad901-bfce-47cb-876b-52da4d91cde3,Social Capital,company,,"We make big bets on transformational ideas, technology, and people.",,https://www.socialcapital.com/,https://www.socialcapital.com/,"Menlo Park, California, United States","Menlo Park, California, United States","All VCs ,All VCs ,All VCs ,Most prolific investment firms (number of investments)",2026-02-15T19:35:09.429Z,Mirza Asceric,2026-02-15T20:39:03.739Z,Mirza Asceric,2011,"Ashley Carroll, Chamath Palihapitiya, Ed Maidenberg, Mamoon Hamid","$1,800,000,000",419,77,https://www.linkedin.com/in/chamath,https://www.linkedin.com/in/chamath,https://www.linkedin.com/in/chamath
52c2ed2d-12cd-4404-8546-c0b99ddf1543,SOSV,company,,"SOSV is a venture capital firm that focuses on human and planetary health and operates HAX, IndieBio, orbit startups, and dLab.",,https://sosv.com/,https://sosv.com/,"174 Nassau Street, #3000, Princeton, New Jersey 08542, US","174 Nassau Street, #3000, Princeton, New Jersey 08542, US","All VCs ,All VCs ,All VCs ,All accelerators,Most prolific investment firms (number of investments)",2026-02-15T19:34:59.635Z,Mirza Asceric,2026-02-15T20:39:03.739Z,Mirza Asceric,1994,Sean O'Sullivan,"$527,000,000",2369,58,"https://www.linkedin.com/in/parikshit-sharma-indiebio, https://www.linkedin.com/in/sean-sosv, https://pt.linkedin.com/in/benjaminjoffe, https://www.linkedin.com/in/neddesmond, https://www.linkedin.com/in/mohansiyer, https://sa.linkedin.com/in/williambaobean",https://www.linkedin.com/in/sean-sosv,https://www.linkedin.com/in/sean-sosv
50ff8d0c-481f-45de-981b-ed3146126e0d,Technology Crossover Ventures,company,,,,https://www.tcv.com/,https://www.tcv.com/,"London, New York, San Francisco","London, New York, San Francisco",Most prolific investment firms (number of investments),2026-02-15T20:39:03.273Z,Mirza Asceric,2026-02-15T20:39:03.572Z,Mirza Asceric,1995,"Jay Hoag, Rick Kimball","$20,100,000,000",393,194,,"https://www.linkedin.com/in/rick-kimball-9a49629/,https://uk.linkedin.com/in/michael-kalfayan-82b06b21,https://www.linkedin.com/in/timmcadam,https://www.linkedin.com/in/ricfenton/,https://www.linkedin.com/in/vkapil,https://www.linkedin.com/in/serhat-kizilboga-07b092b5/,https://www.linkedin.com/in/jake-reynolds-3b5aaa,https://www.linkedin.com/in/alexanderwortmann/,https://www.linkedin.com/in/davideichler","https://www.linkedin.com/in/jay-hoag-2815337,https://www.linkedin.com/in/rick-kimball-9a49629"
e8dbc8a6-fc36-475b-bc43-2522727519d1,Techstars,company,,Techstars is a global platform that provides investment and innovation.,,techstars.com,techstars.com,Boulder,Boulder,"All VCs ,All VCs ,All VCs ,350+ most active Angel Investors in USA 🇺🇸,All accelerators,Most prolific investment firms (number of investments)",2026-02-15T19:34:32.614Z,Mirza Asceric,2026-02-15T20:39:03.739Z,Mirza Asceric,1989,Samuel Isaly,"$108,000,000",4116,951,,"https://www.linkedin.com/in/andreshb,https://www.linkedin.com/in/kjsnyc,https://www.linkedin.com/in/tmgrace,https://www.linkedin.com/in/georgie-smithwick/,https://www.linkedin.com/in/jennyfielding,https://www.linkedin.com/in/jennifervdavis1/,https://www.linkedin.com/in/nealsalesgriffin,https://www.linkedin.com/in/matthewjaeh/,https://www.linkedin.com/in/audun-abelsnes-1844a51/,https://www.linkedin.com/in/codysimms","https://www.linkedin.com/in/davidgcohen,https://www.linkedin.com/in/dbrown"
8540801f-d7bd-4875-84bd-79bb5abd56fd,Tencent,company,,,,https://www.tenx.tc/,https://www.tenx.tc/,Shenzhen,Shenzhen,Most prolific investment firms (number of investments),2026-02-15T20:39:03.273Z,Mirza Asceric,2026-02-15T20:39:03.572Z,Mirza Asceric,1998,Huateng Ma,"$12,600,000,000",659,,,"https://www.linkedin.com/in/dominic-leung-84890931/,https://www.linkedin.com/in/andrew-j-senesi-b29363103/,https://www.linkedin.com/in/stevenweifan/,https://www.linkedin.com/in/sunny-lo-6168611/,https://www.linkedin.com/in/yikunliu/,https://www.linkedin.com/in/shenglongphang/,https://www.linkedin.com/in/zixuan-shin-liu-73358821/,https://www.linkedin.com/in/weiqian-xun-5668a024/,https://hk.linkedin.com/in/chris-zhao-peng-cfa-72589a5a","https://www.linkedin.com/in/martin-lau-84065a2,https://www.linkedin.com/in/stevenweifan"
c91125d2-1d3e-485e-8372-96323f4c9bc2,Tiger Global Management,company,,"Investment firm pursuing a long-term approach to investing in leading, global public and private companies",,https://www.tigerglobal.com/home,https://www.tigerglobal.com/home,"New York, New York, United States","New York, New York, United States","All VCs ,All VCs ,All VCs ,Most prolific investment firms (number of investments)",2026-02-15T19:35:05.611Z,Mirza Asceric,2026-02-15T20:39:03.739Z,Mirza Asceric,2001,Chase Coleman,"$36,100,000,000",1092,131,https://www.linkedin.com/in/chase-coleman,https://www.linkedin.com/in/chase-coleman,https://www.linkedin.com/in/chase-coleman
e6d7f143-baed-4ee5-b346-faa7cc012c73,Trinity Ventures,company,,"Finance, Venture Capital",,https://www.trinityventures.com/,https://www.trinityventures.com/,"Menlo Park, California, United States","Menlo Park, California, United States","All VCs ,All VCs ,All VCs ,Most prolific investment firms (number of investments)",2026-02-15T19:34:32.614Z,Mirza Asceric,2026-02-15T20:39:03.739Z,Mirza Asceric,1986,Noel Fenton,"$2,200,000,000",464,142,"https://www.linkedin.com/in/gustai, https://www.linkedin.com/in/pnakache, https://www.linkedin.com/in/ajaychopra","https://www.linkedin.com/in/noelfenton/,https://www.linkedin.com/in/gustai,https://www.linkedin.com/in/jeffrey-go-2ab65915a/,https://www.linkedin.com/in/larry-orr-82a58b23,https://www.linkedin.com/in/kathy-murphy-54a458a/,https://www.linkedin.com/in/director-sumit-suman/","https://www.linkedin.com/in/noelfenton,https://www.linkedin.com/in/gustai,https://www.linkedin.com/in/larry-orr-82a58b23"
fbf96585-a90f-44be-bd97-f60f92d66c07,True Ventures,company,,True Ventures is a venture capital firm that invests in early-stage technology startups.,,https://trueventures.com/,https://trueventures.com/,"Palo Alto, California, United States","Palo Alto, California, United States","All VCs ,All VCs ,All VCs ,350+ most active Angel Investors in USA 🇺🇸,Most prolific investment firms (number of investments)",2026-02-15T19:35:11.205Z,Mirza Asceric,2026-02-15T20:39:03.739Z,Mirza Asceric,2005,Jon Callaghan,"$2,000,000,000",707,183,https://www.linkedin.com/in/joncallaghan,https://www.linkedin.com/in/joncallaghan,https://www.linkedin.com/in/joncallaghan
7ea9e56c-b2ae-40b8-a9fa-1eb5d4baaa7a,U.S. Venture Partners,company,,U.S. Venture Partners is a venture capital firm that focuses on early-stage ventures in information technology and health care.,,https://usvp.com,https://usvp.com,San Francisco,San Francisco,"All VCs ,All VCs ,All VCs ,Most prolific investment firms (number of investments)",2026-02-15T19:34:32.614Z,Mirza Asceric,2026-02-15T20:39:03.739Z,Mirza Asceric,1981,"Bill Bowes, David Liddle","$4,200,000,000",559,156,"https://www.linkedin.com/in/dafinat, https://www.linkedin.com/in/jacques-benkoski-ab9133, https://www.linkedin.com/in/jonathan-root-md-b3b26b56, https://www.linkedin.com/in/matthewgarratt, https://www.linkedin.com/in/rickusvp","https://www.linkedin.com/in/matthewgarratt,https://www.linkedin.com/in/rickusvp/,https://www.linkedin.com/in/jacques-benkoski-ab9133/,https://www.linkedin.com/in/paul-matteucci-a9b32922,https://www.linkedin.com/in/irwin-federman-5893a239/,https://www.linkedin.com/in/jonathan-root-md-b3b26b56/,https://www.linkedin.com/in/stevekrausz/,https://www.linkedin.com/in/phil-young-697a385/,https://www.linkedin.com/in/mike-maher-70165935/","https://www.linkedin.com/in/matthewgarratt,https://www.linkedin.com/in/rickusvp,https://www.linkedin.com/in/jacques-benkoski-ab9133,https://www.linkedin.com/in/paul-matteucci-a9b32922,https://www.linkedin.com/in/irwin-federman-5893a239,https://www.linkedin.com/in/jonathan-root-md-b3b26b56,https://www.linkedin.com/in/stevekrausz,https://www.linkedin.com/in/phil-young-697a385,https://www.linkedin.com/in/mike-maher-70165935,https://www.linkedin.com/in/dafinat"
d93fa5c9-9f40-4366-bde2-6cb059acafaa,Venrock,company,,"Finance, Financial Services, Venture Capital",,https://www.venrock.com/,https://www.venrock.com/,"Palo Alto, California, United States","Palo Alto, California, United States","All VCs ,All VCs ,All VCs ,Most prolific investment firms (number of investments)",2026-02-15T19:35:11.205Z,Mirza Asceric,2026-02-15T20:39:03.739Z,Mirza Asceric,1969,Laurance Rockefeller,"$4,100,000,000",783,267,,"https://www.linkedin.com/in/morgan-hitzig/,https://www.linkedin.com/in/bob-kocher-2177232/,https://www.linkedin.com/in/bryanrobertsvc,https://www.linkedin.com/in/brianascher,https://www.linkedin.com/in/dpakman,https://www.linkedin.com/in/anthony-evnin-6bb510b/,https://www.linkedin.com/in/ethanjb/,https://www.linkedin.com/in/sharah-marwah-6814168/,https://www.linkedin.com/in/jessica-t-baron/","https://www.linkedin.com/in/bryanrobertsvc,https://www.linkedin.com/in/brianascher,https://www.linkedin.com/in/nickbeim"
64277cca-49df-435b-badd-5b236e562bf3,Verdane,company,,,,https://verdane.com,https://verdane.com,"Berlin, Copenhagen, London, Stockholm, Helsinki, Asker","Berlin, Copenhagen, London, Stockholm, Helsinki, Asker",Most prolific investment firms (number of investments),2026-02-15T20:39:03.273Z,Mirza Asceric,2026-02-15T20:39:03.572Z,Mirza Asceric,2003,Bjarne Kveim Lie,"€3,700,000,000",395,165,,"https://www.linkedin.com/in/maximiliankempken/,https://www.linkedin.com/in/nils-bouchet/,https://www.linkedin.com/in/gintare-kersyte/,https://www.linkedin.com/in/juliagerken/,https://www.linkedin.com/in/christopherparmo/,https://www.linkedin.com/in/sascha-alber/,https://www.linkedin.com/in/emanuel-johnsson-9a876b179/,https://www.linkedin.com/in/seloua-louzani-25936a74/,https://www.linkedin.com/in/arne-handeland-029567226/","https://www.linkedin.com/in/bjarnekveimlie,https://uk.linkedin.com/in/viktor-kovalev-355bb467"
fc09b1b6-7e5f-43c0-a29b-3605338b5090,Walden Catalyst,company,,,,https://waldencatalyst.com/,https://waldencatalyst.com/,San Francisco,San Francisco,Most prolific investment firms (number of investments),2026-02-15T20:39:03.273Z,Mirza Asceric,2026-02-15T20:39:03.572Z,Mirza Asceric,2021,"Lip-Bu Tan, Young Sohn","$3,500,000,000",560,,,"https://www.linkedin.com/in/francis-ho-b47338/,https://www.linkedin.com/in/youngsohn,https://www.linkedin.com/in/shankar-chandran-923a63/,https://www.linkedin.com/in/nautret/,https://www.linkedin.com/in/roni-hefetz-50697/,https://www.linkedin.com/in/cliff-higgerson-02a80050/","https://www.linkedin.com/in/youngsohn,https://www.linkedin.com/in/lip-bu-tan-284a7846"
94da82d8-4b73-4699-af04-b7deee879458,Wavemaker Partners,company,,,,https://wavemaker.vc/,https://wavemaker.vc/,"1 Nanson Road, 1880 Members Club, 3rd Floor, Singapore, Singapore 238909, SG","1 Nanson Road, 1880 Members Club, 3rd Floor, Singapore, Singapore 238909, SG","All VCs ,All VCs ,All VCs ,Most prolific investment firms (number of investments)",2026-02-15T19:35:12.910Z,Mirza Asceric,2026-02-15T20:39:03.739Z,Mirza Asceric,2003,"David Siemer, Eric Manlunas, Paul Santos","$446,500,000",489,58,"https://www.linkedin.com/in/ericmanlunas, https://sg.linkedin.com/in/andyhwang, https://sg.linkedin.com/in/ngrachel","https://www.linkedin.com/in/ericmanlunas/,https://www.linkedin.com/in/lily-nielsen-2426a6105/,https://www.linkedin.com/in/andyhwang/,https://www.linkedin.com/in/shannontanlitong/,https://www.linkedin.com/in/wai-choong-aw-50446535/,https://uk.linkedin.com/in/lindsey-wolfryd100,https://uk.linkedin.com/in/richardgeorge1,https://www.linkedin.com/in/steven-zhang-0a7207190/","https://www.linkedin.com/in/ericmanlunas,https://www.linkedin.com/in/davidsiemer,https://www.linkedin.com/in/b-paul-santos-b18a052"
3120dcbb-4d28-4ff6-bec0-83c11328122d,Y Combinator,company,,Y Combinator is a startup accelerator that invests in a wide range of startups.,,https://www.ycombinator.com/,https://www.ycombinator.com/,San Francisco,San Francisco,"All VCs ,All VCs ,All VCs ,All accelerators,Most prolific investment firms (number of investments)",2026-02-15T19:34:55.607Z,Mirza Asceric,2026-02-15T20:39:03.739Z,Mirza Asceric,2005,"Jessica Livingston, Lucas Thomaz, Paul Graham, Raffaele Colella, Robert Morris, Trevor Blackwell",,4469,444,https://www.linkedin.com/in/jessicalivingston1,https://www.linkedin.com/in/jessicalivingston1,https://www.linkedin.com/in/jessicalivingston1
7da4ed5d-b955-4f53-8f18-c3078ac8739f,ZhenFund,company,,"ZhenFund invests in future technology, AI, enterprise service, healthcare, new consumption, and mobile internet among other sectors.",,http://en.zhenfund.com/,http://en.zhenfund.com/,China,China,"All VCs ,All VCs ,All VCs ,Most prolific investment firms (number of investments)",2026-02-15T19:35:11.205Z,Mirza Asceric,2026-02-15T20:39:03.739Z,Mirza Asceric,2011,"Bob Xiaoping Xu, Victor Wang","$1,000,000,000",762,51,"https://cn.linkedin.com/in/annaaifang, https://cn.linkedin.com/in/xiaopingxu, https://cn.linkedin.com/in/yuan-liu-08798512","https://cn.linkedin.com/in/anna-fang-a2a07441,https://www.linkedin.com/in/annaaifang/,https://cn.linkedin.com/in/yusen,https://linkedin.com/in/xiaopingxu/,https://www.linkedin.com/in/yuanyuan-yin-935186201/,https://www.linkedin.com/in/wendi-hu-99961b165/,https://cn.linkedin.com/in/daniel-wu-1728495a","https://www.linkedin.com/in/xiaopingxu,https://cn.linkedin.com/in/annaaifang"
